GRE Score,TOEFL Score,University Rating,SOP,LOR ,GPA,Research,Chance of Admit
322,119,5,4.4,1.6,3.09,0,0.725
335,102,3,4.9,3.6,2.53,1,0.817
336,111,1,4.9,3.6,2.36,1,0.754
312,112,2,1.1,1.5,3.84,0,0.586
309,114,5,1.3,2.9,2.89,0,0.648
320,120,1,2.6,1.3,3.26,1,0.751
294,119,2,3.0,4.9,2.01,1,0.794
313,92,5,3.4,2.1,3.79,0,0.744
296,97,3,4.2,4.8,2.22,0,0.598
338,96,5,3.5,3.5,2.32,0,0.678
290,108,1,3.5,1.2,3.84,0,0.566
309,106,5,3.7,4.2,3.5,1,0.942
340,98,5,4.1,2.9,2.26,1,0.802
304,108,2,1.4,1.1,3.43,1,0.701
318,96,5,2.0,1.2,3.71,0,0.715
336,94,3,3.6,3.5,2.77,1,0.781
317,92,2,3.6,3.7,2.92,0,0.657
333,98,3,2.8,2.7,2.35,1,0.791
303,120,4,4.4,3.1,2.9,0,0.718
335,95,1,1.9,4.9,3.72,0,0.655
337,118,4,3.0,1.2,2.88,1,0.824
309,115,5,4.4,4.4,2.92,0,0.726
306,119,3,3.7,4.9,3.28,0,0.731
298,111,3,2.2,1.7,3.49,1,0.76
312,100,5,3.4,2.8,2.35,0,0.643
304,101,3,2.3,2.0,2.47,1,0.747
340,115,5,1.3,3.1,3.7,0,0.729
312,113,2,3.8,3.7,3.49,1,0.879
302,114,5,2.0,3.1,2.72,0,0.692
325,93,5,2.5,3.4,3.74,1,0.816
306,93,3,1.1,3.8,2.33,1,0.717
327,94,3,2.6,1.7,3.28,1,0.789
303,116,1,2.3,3.3,2.35,1,0.656
292,108,3,4.0,2.6,3.4,0,0.638
329,103,2,1.0,2.5,3.26,1,0.724
300,109,5,1.4,3.4,3.46,0,0.64
326,118,5,1.5,1.2,2.91,1,0.838
322,105,5,2.2,4.9,3.12,1,0.835
316,93,4,4.9,4.5,3.26,1,0.859
309,119,3,2.0,1.7,3.78,0,0.696
315,109,3,1.1,4.9,3.61,0,0.69
317,107,3,3.2,4.5,3.17,1,0.869
313,112,1,1.0,5.0,3.67,0,0.642
327,95,2,4.2,4.1,2.08,1,0.804
340,114,2,1.1,5.0,3.71,1,0.824
331,109,2,2.1,4.9,2.89,0,0.65
338,120,3,1.8,3.1,3.89,1,0.848
304,104,1,1.6,1.6,3.98,1,0.681
314,120,5,1.9,4.9,3.91,0,0.778
297,113,5,4.2,4.1,2.37,1,0.898
336,115,5,3.3,2.1,2.64,1,0.8
330,104,4,3.1,4.3,2.27,1,0.816
317,120,3,1.1,1.4,3.74,0,0.614
293,104,1,2.2,3.4,2.33,1,0.737
307,111,2,1.4,2.1,2.26,1,0.717
304,105,5,5.0,3.8,3.9,1,0.893
307,102,5,4.7,5.0,2.42,0,0.734
329,95,4,2.1,4.7,3.4,1,0.817
338,115,3,2.8,1.7,2.78,1,0.791
291,98,5,3.8,2.7,3.6,0,0.696
298,100,4,3.9,2.8,3.31,1,0.851
294,92,5,1.1,1.7,3.29,0,0.63
290,109,4,4.0,2.2,3.62,1,0.925
318,108,1,4.7,2.3,2.81,1,0.735
313,94,1,1.8,3.7,2.14,1,0.711
335,96,2,4.8,1.9,2.29,1,0.768
320,105,1,1.1,2.9,3.18,1,0.693
293,98,2,4.1,1.4,3.92,0,0.598
325,95,1,3.1,2.6,3.64,0,0.632
295,104,4,2.2,4.8,3.76,0,0.712
340,96,2,1.6,2.8,2.17,0,0.547
333,97,1,2.8,3.2,3.97,0,0.66
324,116,4,1.9,2.3,2.63,1,0.824
333,115,1,4.2,4.0,2.76,1,0.818
319,101,2,3.3,4.6,3.64,1,0.89
298,119,4,4.7,2.4,3.73,1,0.842
291,104,3,3.6,3.5,3.98,1,0.86
318,115,1,1.4,3.8,3.85,1,0.791
337,96,2,2.0,5.0,3.28,1,0.792
338,99,1,4.3,2.1,3.72,1,0.825
335,106,2,3.2,3.3,3.69,1,0.83
327,119,2,4.8,1.7,2.7,1,0.79
313,119,5,3.8,2.1,2.46,1,0.787
326,107,2,3.9,2.3,3.87,1,0.841
320,104,3,2.1,3.9,3.95,0,0.664
330,114,1,5.0,4.7,3.06,1,0.831
295,106,4,2.9,4.8,2.64,0,0.679
337,93,1,2.2,4.4,3.7,1,0.737
336,92,3,4.1,2.5,3.04,1,0.814
326,117,2,4.3,3.0,3.81,1,0.899
329,106,3,1.8,2.1,2.75,0,0.599
302,118,2,2.8,4.8,4.0,0,0.755
296,115,5,3.7,2.2,3.46,0,0.745
292,111,4,4.5,5.0,2.47,0,0.661
319,109,1,3.9,1.4,2.01,0,0.554
329,119,4,2.1,1.8,2.24,0,0.645
323,93,5,3.7,2.2,3.27,0,0.679
338,109,1,4.8,2.1,2.16,1,0.763
305,104,3,4.4,3.7,2.93,0,0.722
325,109,3,4.8,4.8,2.36,1,0.879
339,93,2,2.2,2.6,2.17,1,0.709
305,117,2,2.7,3.0,3.44,1,0.839
318,108,5,3.8,4.8,3.54,0,0.802
309,95,4,3.5,3.6,3.52,1,0.856
301,99,3,2.1,2.4,3.09,1,0.776
315,117,4,3.1,3.6,3.81,0,0.728
318,112,2,2.6,3.0,2.32,1,0.793
315,119,5,3.2,3.1,3.19,0,0.747
335,98,2,3.9,4.4,2.11,0,0.681
338,106,3,3.7,1.4,3.15,0,0.669
313,107,4,4.4,2.4,3.25,0,0.709
338,99,1,2.1,2.2,2.62,0,0.622
334,104,4,2.7,1.1,3.58,1,0.788
338,100,4,3.9,3.6,3.0,1,0.873
333,97,5,3.9,2.6,2.84,1,0.851
312,102,1,3.5,2.3,3.45,1,0.728
330,96,3,1.9,4.8,3.74,1,0.793
304,97,4,3.3,2.8,3.48,0,0.698
305,111,4,3.6,4.2,3.55,1,0.882
297,109,2,3.9,2.1,2.86,0,0.587
294,100,3,2.4,3.6,3.64,1,0.772
302,113,2,4.6,4.8,2.63,1,0.875
291,119,3,2.9,4.9,3.0,1,0.875
335,116,4,4.4,3.6,3.13,0,0.761
326,98,2,3.0,3.2,2.62,0,0.611
292,110,3,3.8,3.5,3.28,0,0.698
333,114,5,1.8,1.2,3.49,0,0.665
313,107,1,4.5,3.5,3.38,0,0.644
311,97,2,4.4,4.3,3.31,0,0.67
332,104,4,4.1,3.0,3.84,0,0.692
315,97,1,2.4,3.9,3.02,0,0.614
299,102,4,3.9,1.9,2.04,0,0.564
324,110,4,2.6,1.1,3.74,0,0.623
290,108,4,2.8,1.4,2.12,0,0.605
333,96,2,1.2,1.6,2.37,1,0.687
328,98,2,3.2,2.6,2.82,1,0.793
337,99,3,4.8,3.1,2.7,0,0.653
330,117,5,3.9,3.3,2.76,1,0.832
300,97,2,1.7,3.6,2.8,1,0.75
332,93,1,1.9,4.1,3.42,0,0.621
292,93,5,1.4,3.7,2.11,0,0.636
307,110,1,2.0,4.3,2.24,1,0.737
307,94,5,3.5,1.4,2.41,1,0.731
315,102,1,2.1,1.9,3.8,1,0.729
323,97,2,2.8,3.5,3.9,0,0.696
322,92,4,4.1,2.9,3.42,0,0.673
326,115,2,4.1,3.5,2.92,0,0.705
293,111,1,2.3,1.5,2.55,0,0.566
335,97,5,4.7,3.9,3.28,1,0.888
331,106,3,2.4,4.6,3.11,0,0.662
304,98,5,4.1,2.7,3.9,1,0.909
310,95,5,5.0,1.8,2.09,1,0.768
330,104,2,1.8,4.9,3.32,0,0.689
320,94,4,4.2,1.9,3.67,1,0.822
321,107,1,4.0,3.0,2.44,1,0.738
299,117,1,4.6,2.4,2.79,0,0.655
291,117,4,1.2,1.9,2.57,0,0.538
332,112,3,1.1,3.4,3.41,0,0.638
323,120,3,2.2,1.3,2.05,0,0.606
334,111,5,1.1,3.2,2.98,1,0.823
290,109,5,4.4,1.7,3.16,0,0.633
337,92,2,1.3,3.0,3.68,1,0.763
326,114,5,4.2,4.2,3.3,1,0.962
322,94,1,1.3,3.8,3.09,0,0.596
297,97,2,4.7,1.9,3.72,0,0.708
324,111,1,4.0,1.7,3.13,1,0.74
291,112,3,4.8,3.2,3.86,0,0.747
293,103,5,1.6,2.7,2.32,0,0.597
302,114,3,1.5,1.6,3.04,0,0.589
305,104,5,2.5,1.2,2.7,1,0.764
299,97,1,3.2,1.4,2.25,0,0.498
299,117,5,4.9,3.8,3.76,1,0.916
319,110,3,2.3,2.4,3.15,0,0.58
292,93,3,3.4,2.8,2.37,0,0.592
308,116,5,3.2,3.4,3.28,0,0.709
330,118,5,3.8,2.2,2.88,0,0.678
319,115,5,2.6,1.2,2.99,0,0.674
306,113,4,2.4,4.1,3.58,0,0.72
313,95,5,4.6,4.6,2.17,1,0.863
299,116,4,1.8,1.0,3.16,1,0.745
297,107,4,1.9,3.7,2.72,1,0.768
298,97,2,2.3,2.5,3.09,0,0.6
323,117,2,3.2,2.1,3.2,0,0.589
310,100,5,2.8,3.4,3.39,0,0.722
333,105,5,2.3,4.9,3.9,0,0.737
297,109,3,2.8,3.5,2.81,1,0.741
338,116,5,4.0,1.1,2.55,1,0.871
329,110,4,2.8,3.3,3.81,0,0.724
303,103,5,1.5,1.2,3.04,1,0.737
313,103,2,4.6,4.5,3.84,1,0.886
290,101,4,3.2,2.3,2.18,1,0.774
304,113,1,5.0,1.7,2.72,0,0.616
297,102,5,2.7,3.1,3.27,0,0.701
335,105,1,1.1,1.1,2.02,1,0.637
340,116,5,4.9,1.3,2.64,1,0.854
290,110,1,1.3,4.4,2.88,0,0.544
339,98,4,1.7,1.7,3.31,1,0.766
299,97,1,4.2,1.5,2.26,1,0.737
322,116,2,2.3,3.3,2.98,1,0.804
312,99,4,2.7,4.6,3.59,0,0.69
306,100,2,4.1,1.0,3.64,1,0.746
336,96,2,2.6,1.8,3.7,1,0.797
325,95,2,4.3,4.4,3.86,0,0.695
309,102,2,2.1,4.1,3.77,1,0.801
317,110,1,4.9,2.3,2.98,0,0.574
297,102,5,4.2,2.3,3.1,0,0.679
311,113,1,3.5,4.8,2.04,0,0.609
320,93,2,1.5,1.6,3.54,0,0.64
328,96,1,3.1,3.5,3.34,0,0.643
306,95,5,4.5,1.4,2.04,0,0.638
326,115,4,3.7,1.1,2.9,0,0.65
338,106,5,2.1,5.0,3.7,0,0.755
292,103,3,2.2,3.9,3.73,1,0.774
312,107,1,2.5,4.7,2.26,1,0.785
314,119,4,2.8,3.3,2.93,1,0.843
328,116,5,3.1,1.5,3.72,0,0.689
305,109,4,4.9,2.0,2.59,0,0.743
296,101,2,2.9,2.4,2.87,1,0.756
294,100,3,4.8,2.7,3.68,1,0.824
308,116,5,1.9,3.0,3.65,1,0.86
316,116,5,1.0,2.2,2.15,0,0.599
334,119,5,4.5,3.2,2.23,1,0.841
314,94,3,2.1,2.8,2.88,0,0.644
336,103,1,4.6,1.4,2.35,0,0.593
334,99,2,1.6,4.7,3.62,1,0.835
291,112,4,3.4,2.8,3.89,1,0.836
290,119,5,4.5,3.4,2.09,1,0.832
336,100,1,2.5,4.0,2.97,1,0.725
319,98,2,4.8,3.3,3.61,0,0.689
312,113,5,2.0,3.5,3.31,1,0.863
338,101,5,3.2,1.9,3.35,1,0.858
316,117,3,1.2,2.0,2.34,1,0.644
290,97,3,4.8,1.4,2.15,0,0.607
319,93,1,1.1,4.4,2.9,0,0.603
323,117,3,1.6,3.6,2.21,0,0.655
305,119,2,2.7,4.2,2.97,0,0.618
302,110,5,1.3,4.3,3.56,1,0.891
318,105,1,1.1,2.0,2.04,1,0.637
315,119,1,1.2,1.9,3.5,1,0.743
337,99,4,4.7,1.7,2.04,1,0.772
306,102,2,2.0,1.4,3.23,1,0.747
334,111,5,2.6,2.4,2.32,0,0.623
328,95,3,3.6,5.0,3.57,1,0.895
327,115,1,3.4,4.6,3.69,0,0.682
319,96,2,3.2,2.6,2.16,1,0.779
315,92,4,4.1,4.9,3.01,1,0.88
296,94,5,3.4,1.0,2.24,1,0.787
307,96,5,2.0,4.1,3.64,1,0.845
334,107,2,2.2,4.5,2.66,0,0.661
324,110,2,4.1,1.2,2.83,1,0.803
311,115,3,3.5,1.9,3.22,1,0.851
319,118,2,2.5,1.2,2.25,1,0.667
303,94,3,4.5,2.9,2.91,1,0.809
318,99,3,4.5,3.8,2.31,0,0.623
295,114,4,3.1,3.7,2.91,1,0.779
324,96,3,1.5,1.6,3.22,1,0.732
340,100,2,3.5,2.0,2.22,1,0.74
309,118,4,1.6,3.5,2.91,1,0.813
328,118,4,3.4,4.9,2.17,0,0.692
333,116,2,1.5,3.8,2.13,0,0.569
309,113,5,1.5,1.4,2.44,1,0.799
320,111,5,3.1,4.2,3.16,1,0.914
328,112,5,4.6,1.4,2.06,0,0.651
315,119,5,4.8,4.2,2.4,0,0.735
301,92,3,4.0,4.3,2.42,1,0.819
315,105,5,4.8,3.9,3.23,0,0.76
326,108,3,1.6,2.7,3.07,0,0.627
316,113,4,4.6,3.3,3.65,1,0.933
340,96,2,1.7,3.4,3.13,0,0.674
314,116,5,4.0,4.7,2.99,0,0.75
335,98,4,4.4,1.4,2.93,1,0.784
336,107,2,2.6,3.8,2.81,1,0.816
318,106,3,2.7,1.1,2.08,0,0.507
324,112,3,4.6,2.8,3.28,0,0.678
340,111,1,2.1,4.6,2.77,1,0.755
316,93,1,1.9,4.4,3.54,0,0.612
334,108,3,3.5,4.3,3.28,0,0.768
327,98,3,3.1,4.2,2.94,0,0.644
291,100,1,4.3,3.4,3.25,1,0.758
324,110,3,1.2,1.2,2.74,1,0.746
328,92,4,1.5,4.9,3.67,1,0.876
293,119,1,2.8,2.7,2.89,0,0.608
319,103,3,4.1,1.7,2.11,0,0.549
312,120,5,3.5,4.0,3.29,1,0.886
330,100,5,2.6,2.4,2.54,0,0.629
339,102,3,1.2,3.1,3.09,1,0.783
327,109,5,3.2,1.3,3.59,0,0.722
331,93,4,3.3,1.1,3.0,1,0.753
306,116,5,2.0,1.4,3.24,0,0.601
313,119,4,3.1,4.4,3.94,1,0.941
324,107,3,4.1,2.3,3.72,0,0.659
308,114,5,1.7,1.8,3.44,0,0.645
294,104,3,2.1,2.8,3.91,0,0.655
299,100,1,3.7,1.1,2.22,1,0.65
337,118,1,4.8,2.6,3.19,0,0.714
311,104,2,1.2,3.1,3.53,0,0.644
323,113,2,3.8,1.7,3.49,0,0.642
297,110,4,1.7,4.8,3.39,0,0.667
320,112,5,1.9,4.9,2.39,1,0.823
323,115,5,2.7,1.2,2.22,0,0.614
314,109,2,4.1,1.4,2.17,1,0.734
330,107,5,1.7,1.4,3.53,1,0.818
302,120,3,2.5,4.0,2.78,1,0.754
320,92,3,2.5,1.1,3.92,0,0.607
292,109,2,4.2,3.7,2.11,0,0.589
340,101,1,2.4,4.9,3.75,1,0.801
315,110,1,2.3,3.6,2.04,0,0.566
326,105,5,3.9,3.8,3.98,0,0.789
291,94,5,1.7,3.6,3.78,0,0.702
297,94,3,1.4,3.9,3.67,0,0.607
303,112,1,4.3,4.6,2.54,1,0.81
337,102,3,3.9,3.4,2.22,0,0.623
316,117,1,1.8,3.6,2.49,0,0.6
318,116,2,3.1,2.3,3.84,1,0.837
334,104,5,5.0,3.4,2.35,0,0.728
324,110,3,3.7,2.5,2.31,0,0.608
301,94,5,2.9,3.0,2.96,0,0.683
331,105,3,2.5,3.4,3.27,0,0.687
331,106,5,2.9,4.8,2.95,1,0.899
338,100,1,2.2,2.4,3.77,0,0.596
293,120,3,2.2,2.6,3.42,0,0.62
335,120,4,3.0,3.6,3.83,1,0.883
339,115,2,1.4,4.5,2.56,1,0.734
307,103,5,2.3,2.9,3.97,0,0.751
329,118,5,1.8,3.0,3.99,1,0.873
290,106,1,2.0,1.9,2.56,1,0.644
302,113,1,1.9,1.4,3.74,0,0.571
332,107,2,3.1,2.7,2.52,0,0.591
319,97,1,4.5,4.8,2.54,0,0.64
322,100,4,3.5,4.2,3.85,1,0.918
338,115,3,3.0,3.3,2.04,0,0.667
318,92,5,1.2,4.9,2.67,1,0.815
299,118,3,4.0,3.0,2.45,1,0.808
310,117,4,3.0,3.9,3.6,1,0.883
335,92,5,4.3,2.2,2.11,1,0.869
296,117,1,4.5,2.1,3.1,0,0.621
326,107,2,4.3,4.7,3.67,1,0.909
327,118,3,4.0,3.3,3.76,1,0.883
301,106,1,4.1,2.7,3.94,1,0.873
316,108,2,2.5,3.9,3.45,0,0.654
319,116,1,2.1,2.4,3.51,0,0.652
295,95,1,3.6,4.0,3.16,0,0.631
336,120,4,3.7,4.3,2.3,0,0.722
332,99,5,1.8,4.2,3.96,0,0.793
335,92,2,1.2,4.8,2.92,1,0.812
305,110,2,3.8,4.1,3.04,0,0.643
326,103,2,2.0,4.5,2.05,0,0.58
339,114,5,1.6,2.0,2.43,1,0.754
299,108,4,2.4,2.0,3.15,0,0.586
306,94,4,4.9,4.7,3.31,0,0.746
304,92,3,2.4,2.9,3.16,1,0.754
299,98,4,4.2,4.1,2.23,1,0.804
307,115,2,1.1,4.8,3.67,1,0.844
336,113,5,2.1,2.1,3.22,1,0.824
292,114,1,4.4,1.8,3.95,0,0.669
313,98,3,3.6,4.0,2.96,0,0.713
300,114,3,4.6,4.4,2.6,0,0.651
295,98,4,4.6,1.0,3.17,1,0.789
315,116,1,1.0,3.5,2.25,0,0.582
327,112,1,4.8,3.6,2.14,0,0.653
316,119,4,3.7,4.6,3.86,1,0.959
325,94,5,3.8,1.5,2.32,1,0.793
324,99,2,2.1,3.2,2.65,0,0.608
299,94,3,1.4,3.4,2.81,1,0.712
324,117,5,3.7,2.3,3.62,1,0.842
328,103,5,3.5,4.1,2.76,1,0.884
313,101,4,4.5,3.3,3.42,0,0.75
324,92,1,1.5,3.9,2.83,1,0.751
332,94,1,4.1,4.8,3.49,1,0.826
339,113,4,2.5,3.8,3.34,1,0.863
317,117,4,3.2,1.3,2.42,0,0.591
338,118,3,1.1,1.4,3.55,1,0.797
316,108,2,2.6,2.0,3.99,0,0.612
327,99,3,1.6,4.3,3.37,0,0.637
325,105,3,2.5,3.3,3.51,1,0.834
317,103,4,2.6,2.6,2.4,0,0.582
321,105,5,1.1,2.2,2.58,0,0.574
331,119,4,1.2,2.6,3.97,1,0.866
312,116,4,1.8,2.3,2.81,1,0.836
330,111,4,4.3,3.3,3.81,1,0.891
322,113,4,4.8,4.9,2.88,1,0.941
316,116,2,1.8,2.4,3.8,1,0.794
333,116,2,1.0,1.6,3.37,0,0.626
329,104,3,3.5,2.5,3.45,0,0.7
323,110,5,1.5,4.8,2.98,0,0.7
335,96,3,3.5,3.1,2.29,0,0.614
315,119,4,3.0,3.9,2.14,0,0.638
324,111,4,3.8,3.5,2.62,0,0.631
291,98,3,1.1,4.6,3.32,0,0.678
333,114,2,3.7,4.7,2.59,0,0.683
315,92,5,3.8,4.6,2.38,1,0.867
321,102,5,3.1,4.9,3.9,0,0.856
320,112,2,4.8,1.3,3.32,0,0.673
313,111,1,4.6,1.0,3.07,1,0.763
322,100,3,3.3,3.3,3.84,0,0.712
327,116,3,3.9,3.8,2.86,1,0.831
340,99,1,2.4,3.7,3.55,0,0.624
334,95,4,2.4,3.2,3.34,0,0.686
339,97,1,4.2,2.4,3.09,1,0.78
337,99,3,3.8,4.2,2.8,1,0.805
308,117,4,1.9,2.9,3.95,1,0.855
317,103,5,1.7,1.6,2.12,1,0.73
337,102,4,4.6,4.0,2.67,1,0.798
325,109,2,4.9,4.5,3.45,1,0.887
295,103,1,2.0,3.3,3.2,1,0.689
328,100,3,3.4,1.5,2.14,1,0.748
339,110,3,3.3,3.3,3.62,1,0.853
316,102,1,3.4,3.9,3.14,0,0.638
340,103,3,4.3,3.3,2.39,1,0.761
325,113,4,4.5,4.5,3.58,0,0.737
332,115,1,1.1,2.2,2.43,1,0.673
302,107,3,4.1,4.2,2.37,0,0.712
308,107,1,3.0,2.8,3.75,1,0.802
290,106,2,2.5,3.7,3.4,1,0.8
333,106,4,2.1,1.2,2.22,1,0.708
298,120,4,4.3,4.0,3.85,1,0.93
311,115,2,1.9,3.9,3.83,0,0.69
338,103,2,1.3,4.0,3.15,1,0.754
307,113,1,2.9,1.4,3.91,1,0.787
339,93,5,3.8,3.9,3.92,1,0.97
301,103,2,3.7,4.0,3.92,1,0.846
313,92,3,4.3,2.8,3.95,1,0.875
326,93,3,1.1,3.7,2.41,0,0.526
303,119,3,4.5,1.2,2.54,0,0.592
297,93,3,1.5,2.2,2.85,0,0.6
308,115,4,2.5,2.3,2.3,1,0.782
305,106,3,3.5,5.0,2.23,0,0.664
333,114,5,4.4,1.0,2.2,0,0.687
300,104,1,4.6,1.5,3.29,1,0.767
340,111,2,3.1,2.9,2.6,1,0.787
337,114,4,4.7,1.5,3.38,1,0.863
319,119,1,2.9,1.4,2.48,0,0.523
319,97,4,2.7,3.3,3.1,1,0.822
304,116,5,3.4,3.4,2.07,1,0.828
328,96,2,4.4,3.5,3.53,1,0.846
319,112,1,2.4,4.9,3.78,1,0.852
296,97,5,3.9,1.3,2.23,0,0.596
336,109,4,1.1,3.2,2.01,0,0.558
301,94,1,1.2,2.5,2.13,0,0.513
296,118,5,4.9,4.6,3.85,0,0.777
297,95,5,2.3,4.6,2.71,1,0.817
290,105,3,3.5,2.6,2.14,1,0.724
311,120,4,2.6,2.7,3.49,1,0.871
306,112,1,4.1,2.9,2.17,1,0.804
328,112,5,3.6,3.1,2.7,1,0.807
305,109,4,4.5,3.8,2.68,1,0.83
310,101,2,1.6,4.1,3.58,1,0.801
315,120,3,3.1,3.1,2.23,0,0.638
333,107,5,2.8,2.8,3.12,0,0.687
291,106,1,3.8,2.0,2.21,0,0.565
334,96,5,5.0,3.1,3.0,0,0.764
307,118,4,4.7,4.0,2.77,1,0.908
295,95,4,1.1,4.1,2.77,1,0.813
304,96,1,4.7,4.7,3.62,1,0.832
333,120,1,4.6,4.1,2.99,0,0.701
299,117,4,4.4,4.1,2.52,1,0.879
339,111,2,2.8,2.7,3.67,1,0.818
340,98,4,4.5,5.0,2.72,0,0.727
296,114,1,3.2,2.6,2.07,0,0.556
331,111,3,3.6,1.0,4.0,0,0.717
332,98,1,4.6,3.8,3.71,1,0.836
299,117,5,4.1,2.7,3.24,0,0.703
328,112,1,4.6,3.8,3.43,1,0.835
331,103,4,4.1,1.5,3.77,0,0.691
324,119,4,3.7,4.4,3.5,1,0.92
333,119,5,2.3,1.2,3.56,0,0.646
300,107,3,4.8,2.5,3.95,0,0.734
301,117,1,3.0,3.3,2.08,0,0.59
331,119,1,3.8,3.7,2.44,0,0.623
319,109,2,3.5,3.3,3.39,1,0.843
329,118,4,4.9,2.4,2.2,0,0.722
292,103,2,3.8,1.2,2.74,1,0.729
339,110,5,4.7,1.0,2.23,1,0.845
312,119,5,2.6,2.2,3.59,1,0.831
292,100,1,1.2,1.7,3.27,1,0.694
332,114,5,2.8,1.5,3.27,0,0.659
336,105,3,1.2,2.2,2.98,1,0.729
326,112,1,4.0,4.2,2.35,1,0.748
328,118,2,4.1,3.3,2.04,0,0.605
295,103,2,2.2,1.4,3.83,0,0.623
304,96,3,3.7,4.0,2.12,1,0.788
332,108,2,3.4,2.7,2.68,0,0.646
320,107,4,1.2,4.2,3.7,0,0.728
331,108,2,3.0,2.9,2.7,1,0.761
337,107,4,1.7,1.2,3.7,0,0.618
317,101,5,2.3,2.9,3.98,0,0.74
338,117,4,4.0,3.8,3.63,0,0.756
311,97,3,2.3,2.5,2.93,0,0.568
336,112,4,1.6,2.1,3.34,0,0.621
339,101,5,3.9,3.5,2.34,1,0.82
304,113,3,4.2,3.4,2.91,0,0.691
305,116,2,3.0,2.4,3.24,1,0.791
304,120,4,1.7,1.6,2.66,0,0.602
332,110,4,3.3,2.0,3.44,1,0.843
293,102,5,4.3,3.6,2.66,0,0.685
296,106,3,4.4,2.1,3.89,1,0.861
335,99,1,3.5,1.9,2.66,1,0.765
305,120,5,4.4,2.0,3.0,1,0.915
293,111,2,2.7,1.7,2.56,1,0.76
337,106,1,4.3,2.5,2.79,0,0.583
306,105,2,2.0,4.1,3.0,0,0.586
306,94,2,1.6,1.5,3.72,1,0.754
